Monday,00:00 – 00:30,Tuesday,00:00 – 00:30,Wednesday,00:00 – 00:30,Thursday,00:00 – 00:30,Friday,00:00 – 00:30,Saturday,00:00-01:00,Sunday,00:00-01:00
,00:30–06:30,,00:30–06:30,,00:30–06:30,,00:30–06:30,,00:30–06:30,,01:00-07:00,,01:00-07:00
,06:30-09-:00,,06:30-09-:00,,06:30-09-:00,,06:30-09-:00,,06:30-09-:00,,07:00-09:00,,07:00-09:00
,09:00-12:00,,09:00-12:00,,09:00-12:00,,09:00-12:00,,09:00-12:00,,09:00-11:45,,09:00-12:00
,12:00-13:00,,12:00-13:00,,12:00-13:00,,12:00-13:00,,12:00-13:00,,11:45-12:30,,12:00-13:00
,13:00-14:00,,13:00-14:00,,13:00-14:00,,13:00-14:00,,13:00-14:00,,12:30-13:00,,13:00-14:00
,14:00-16:30,,14:00-17:00,,14:00-16:30,,14:00-17:00,,14:00-16:30,,13:00-15:00,,14:00-15:00
,16;30-17:00,,17:00-19:00,,16:30-17:00,,17:00-19:00,,16;30-17:00,,15:00-16:00,,15:00-16:00
,17:00-19:00,,19:00-19:30,,17:00-19:00,,19:00-19:30,,17:00-19:00,,16:00-17:00,,16:00-17:00
,19:00-19:30,,19:30-22:00,,19:00-19:30,,19:30-22:00,,19:00-19:30,,17:00-18:30,,17:00-17:30
,19:30-22:00,,22:00-22:45,,19:30-22:00,,22:00-22:45,,19:30-22:00,,18:30-22:00,,17:30-18:45
,22:00-22:45,,22:45-23:00,,22:00-22:45,,22:45-23:00,,22:00-22:45,,22:00-00:00,,18:45-19:30
,22:45-23:00,,23:00-00:00,,22:45-23:00,,23:00-23:30,,22:45-23:00,,   ,,19:30-21:30
,23:00-00:00,,,,23:00-00:00,,23:00-00:00,,23:00-00:00,,,,21:30-23:30
,,,,,,,,,,,,,23:30-00:00
